IT_NO ID ISLIQUIDSHORT HASLOAN HASINVESTMENT LIQUIDITY_NEED ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_GOODS_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL DEBT EQUITY
901 14 0 0 0 0.000000 0 0 2201.360000 0.000000 0 0.006861 0.560000 3931 3931 1836.521734 364.838266
901 6 0 0 0 0.000000 0 0 2328.289825 -0.000000 707 0.006860 0.560000 4149 4149 1914.250000 414.039825
961 9 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.006935 0.560000 4222 4222 1947.833333 416.486667
961 4 0 0 0 0.000000 0 0 2282.560000 0.000000 0 0.006951 0.560000 4076 4076 1884.905130 397.654870
961 6 0 0 0 0.000000 0 0 2323.440000 -0.000000 0 0.006938 0.560000 4149 4149 1914.250000 409.190000
961 7 0 0 0 0.000000 0 0 2853.200000 0.000000 0 0.006988 0.560000 5095 5095 2350.833333 502.366667
961 11 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.006967 0.560000 4222 4222 1965.792754 398.527246
961 5 0 0 0 0.000000 0 0 1997.520000 -0.000000 0 0.006959 0.560000 3567 3567 1645.583333 351.936667
961 13 0 0 0 0.000000 0 0 2772.000000 -0.000000 0 0.006896 0.560000 4950 4950 2405.621555 366.378445
961 8 0 0 0 0.000000 0 0 1834.560000 0.000000 0 0.006924 0.560000 3276 3276 1511.250000 323.310000
961 15 0 0 0 0.000000 0 0 1874.880000 -0.000000 0 0.006838 0.560000 3348 3348 1544.833333 330.046667
961 12 0 0 0 0.000000 0 0 2649.360000 -0.000000 0 0.006886 0.560000 4731 4731 2278.701652 370.658348
961 14 0 0 0 0.000000 0 0 2201.360000 0.000000 0 0.006934 0.560000 3931 3931 1836.521734 364.838266
961 10 0 0 0 0.000000 0 0 1426.880000 0.000000 0 0.006912 0.560000 2548 2548 1175.416667 251.463333
1021 11 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.007068 0.560000 4222 4222 1965.792754 398.527246
1021 5 0 0 0 0.000000 0 0 1997.520000 -0.000000 0 0.007060 0.560000 3567 3567 1645.583333 351.936667
1021 15 0 0 0 0.000000 0 0 1874.880000 -0.000000 0 0.007058 0.560000 3348 3348 1544.833333 330.046667
1021 6 0 0 0 0.000000 0 0 2323.440000 -0.000000 0 0.007017 0.560000 4149 4149 1914.250000 409.190000
1021 9 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.007018 0.560000 4222 4222 1947.833333 416.486667
1021 8 0 0 0 0.000000 0 0 1834.560000 0.000000 0 0.007011 0.560000 3276 3276 1511.250000 323.310000
1021 10 0 0 0 0.000000 0 0 1426.880000 0.000000 0 0.006995 0.560000 2548 2548 1175.416667 251.463333
1021 14 0 0 0 0.000000 0 0 2201.360000 0.000000 0 0.007017 0.560000 3931 3931 1836.521734 364.838266
1021 13 0 0 0 0.000000 0 0 2772.000000 -0.000000 0 0.007086 0.560000 4950 4950 2405.621555 366.378445
1021 7 0 0 0 0.000000 0 0 2853.200000 0.000000 0 0.007088 0.560000 5095 5095 2350.833333 502.366667
1021 4 0 0 0 0.000000 0 0 2282.560000 0.000000 0 0.007067 0.560000 4076 4076 1884.905130 397.654870
1021 12 0 0 0 0.000000 0 0 2649.360000 -0.000000 0 0.007045 0.560000 4731 4731 2278.701652 370.658348
