IT_NO ID WAGE_OFFER NO_EMPLOYEES EMPLOYEES_NEEDED SALES INVENTORY PRODUCTION_CURRENT PRODUCTION_PLAN UNIT_HOUSE_PRICE
2781 1 5.225252 15 22 0 43 0 15 138.409038
2801 3 5.225767 16 20 0 47 0 14 138.409038
2801 1 5.225767 22 23 0 44 1 16 138.409038
2801 2 5.225056 22 19 0 52 0 13 138.409038
2821 3 5.224799 20 9 0 49 2 6 138.409038
2821 1 5.224799 23 29 0 45 1 20 138.409038
2821 2 5.225056 19 19 0 54 2 13 138.409038
2841 3 5.224799 9 19 0 50 1 13 138.409038
2841 2 5.225056 19 18 0 55 1 12 138.409038
2841 1 5.222601 29 25 0 47 2 17 138.409038
2861 1 5.222601 25 16 0 48 1 11 138.409038
2861 3 5.219698 19 18 0 51 1 12 138.409038
2861 2 5.225056 18 10 0 56 1 7 138.409038
2881 2 5.225056 10 15 0 57 1 10 138.409038
2881 3 5.219698 18 29 0 51 0 20 138.409038
2881 1 5.222601 16 18 0 49 1 12 138.409038
2901 2 5.219473 15 29 0 58 1 20 138.409038
2901 1 5.219473 18 12 0 50 1 8 138.409038
2901 3 5.219473 29 25 0 53 2 17 138.409038
2921 1 5.219473 12 12 0 50 0 8 138.409038
2921 2 5.228064 29 10 0 59 1 7 138.409038
2921 3 5.219473 25 20 0 55 2 14 138.409038
2941 2 5.228064 10 19 0 59 0 13 138.409038
2941 1 5.219473 12 13 0 51 1 9 138.409038
2941 3 5.219473 20 26 0 55 0 18 138.409038
2961 1 5.229208 13 25 0 52 1 17 138.409038
2961 3 5.229208 26 29 0 56 1 20 138.409038
2961 2 5.229208 19 26 0 60 1 18 138.409038
2981 2 5.233416 26 28 0 63 3 19 138.409038
2981 3 5.233416 29 16 0 57 1 11 138.409038
2981 1 5.233416 25 19 0 53 1 13 138.409038
3001 1 5.233416 19 19 0 54 1 13 138.409038
3001 3 5.233416 16 25 0 59 2 17 138.409038
3001 2 5.239692 28 15 0 64 1 10 138.409038
3021 1 5.233416 19 16 0 56 2 11 138.409038
3021 3 5.239979 25 23 0 60 1 16 138.409038
3021 2 5.239692 15 16 0 65 1 11 138.409038
3041 2 5.240141 16 16 0 66 1 11 138.409038
3041 1 5.233416 16 23 0 58 2 16 138.409038
3041 3 5.239979 23 18 0 61 1 12 138.409038
3061 3 5.239979 18 19 0 63 2 13 138.409038
3061 1 5.237732 23 13 0 58 0 9 138.409038
3061 2 5.240141 16 29 0 67 1 20 138.409038
3081 2 5.235490 29 15 0 68 1 10 138.409038
3081 3 5.235490 19 23 0 65 2 16 138.409038
3081 1 5.237732 13 26 0 59 1 18 138.409038
3101 1 5.233923 26 22 0 59 0 15 138.409038
3101 3 5.233923 23 26 0 66 1 18 138.409038
3101 2 5.235490 15 28 0 69 1 19 138.409038
3121 2 5.233736 28 18 0 69 0 12 138.409038
3121 3 5.233736 26 13 0 67 1 9 138.409038
3121 1 5.233923 22 13 0 60 1 9 138.409038
3141 3 5.233736 13 20 0 68 1 14 138.409038
3141 2 5.233736 18 15 0 71 2 10 138.409038
3141 1 5.233923 13 26 0 61 1 18 138.409038
3161 2 5.233736 15 16 0 71 0 11 138.409038
3161 1 5.231561 26 25 0 63 2 17 138.409038
3161 3 5.231561 20 29 0 69 1 20 138.409038
3181 2 5.241180 16 19 0 71 0 13 138.409038
3181 3 5.241180 29 19 0 70 1 13 138.409038
3181 1 5.231561 25 16 0 65 2 11 138.409038
3201 1 5.231561 16 20 0 66 1 14 138.409038
